cid,5,0,21000%,0%
treebeast,50,5,2000%,0%
ivan,250,22,2000%,0%
brittany,1000,74,2000%,0%
fisherman,4000,245,800%,25%
betty,20000,976,100%,107%
samurai,100e3,3725,2000%,0%
leon,400e3,10859,800%,25%
forest,2500e3,47143,2000%,0%
alexa,15000e3,186e3,506.25%,0%
natalia,100e6,782e3,2000%,0%
mercedes,800e6,3721e3,2000%,0%
bobby,6500e6,17010e3,2000%,0%
broyle,50000e6,69064e3,1000%,25%
george,450e9,460e6,2000%,0%
midas,4000e9,3017e6,100%,0%
referijerator,36000e9,20009e6,2000%,0%
abaddon,320e12,131e9,1139.0625%,0%
mazhu,2700e12,814e9,2000%,0%
amenhotep,24000e12,5335e9,200%,44%
beastlord,300e15,49143e9,800%,10%
athena,9000e15,1086e12,1600%,0%
aphrodite,350e18,31124e12,1600%,0%
shinatobe,14000e18,917e15,800%,10%
grant,4199e21,202e18,400%,56%
frostleaf,2100e24,74698e18,400%,25%
